"","kap1","kap2","kap3","kap4","kap5","baseline1","baseline2","baseline3","baseline4","baseline5","dmi1","dmi2","dmi3","dmi4","dmi5","ethz1","ethz2","ethz3","ethz4","ethz5","meto1","meto2","meto3","meto4","meto5"
"1",0.04,0.2,0.08,0.09,0.13,0.08,0.29,0.14,0.14,0.2,0.04,0.21,0.06,0.06,0.16,0.03,0.31,0.12,0.14,0.23,0.09,0.37,0.18,0.18,0.28
"2",0.04,0.2,0.08,0.09,0.13,0.08,0.29,0.14,0.14,0.2,0.04,0.21,0.06,0.06,0.16,0.03,0.31,0.12,0.14,0.23,0.09,0.37,0.18,0.18,0.28
"3",0.04,0.22,0.05,0.05,0.16,0.06,0.31,0.13,0.13,0.26,0.03,0.32,0.12,0.13,0.23,0.05,0.43,0.14,0.14,0.31,0.05,0.42,0.12,0.14,0.28
"4",0.04,0.22,0.05,0.05,0.16,0.06,0.31,0.13,0.13,0.26,0.03,0.32,0.12,0.13,0.23,0.05,0.43,0.14,0.14,0.31,0.05,0.42,0.12,0.14,0.28
"5",0.03,0.18,0.06,0.06,0.14,0.05,0.26,0.09,0.09,0.19,0.02,0.28,0.08,0.09,0.18,0.09,0.33,0.18,0.18,0.28,0.05,0.45,0.17,0.2,0.34
"6",0.03,0.18,0.06,0.06,0.14,0.05,0.26,0.09,0.09,0.19,0.02,0.28,0.08,0.09,0.18,0.09,0.33,0.18,0.18,0.28,0.05,0.45,0.17,0.2,0.34
"7",0.04,0.24,0.07,0.07,0.17,0.03,0.23,0.07,0.07,0.18,0.06,0.35,0.11,0.14,0.24,0.04,0.37,0.12,0.14,0.29,0.11,0.52,0.22,0.22,0.44
"8",0.04,0.24,0.07,0.07,0.17,0.03,0.23,0.07,0.07,0.18,0.06,0.35,0.11,0.14,0.24,0.04,0.37,0.12,0.14,0.29,0.11,0.52,0.22,0.22,0.44
"9",0.05,0.23,0.1,0.11,0.16,0.04,0.29,0.07,0.08,0.21,0.02,0.23,0.04,0.05,0.14,0.11,0.43,0.12,0.13,0.32,0.08,0.39,0.14,0.14,0.3
"10",0.05,0.23,0.1,0.11,0.16,0.04,0.29,0.07,0.08,0.21,0.02,0.23,0.04,0.05,0.14,0.11,0.43,0.12,0.13,0.32,0.08,0.39,0.14,0.14,0.3
"11",0.05,0.23,0.07,0.08,0.14,0.05,0.4,0.09,0.11,0.26,0.03,0.24,0.08,0.1,0.15,0.07,0.46,0.14,0.16,0.31,0.08,0.49,0.13,0.19,0.37
"12",0.05,0.23,0.07,0.08,0.14,0.05,0.4,0.09,0.12,0.26,0.03,0.24,0.08,0.1,0.15,0.07,0.46,0.14,0.16,0.31,0.08,0.49,0.13,0.19,0.37
"13",0.01,0.14,0.03,0.03,0.1,0.08,0.27,0.13,0.14,0.23,0.07,0.27,0.11,0.13,0.23,0.07,0.4,0.12,0.14,0.33,0.11,0.53,0.2,0.22,0.4
"14",0.01,0.14,0.03,0.03,0.1,0.08,0.27,0.13,0.14,0.23,0.07,0.27,0.11,0.13,0.23,0.07,0.4,0.12,0.14,0.33,0.11,0.53,0.2,0.22,0.4
"15",0.01,0.18,0.05,0.07,0.11,0.05,0.25,0.08,0.09,0.19,0.01,0.17,0.06,0.07,0.11,0.05,0.45,0.11,0.14,0.31,0.07,0.44,0.15,0.16,0.33
"16",0.01,0.18,0.05,0.07,0.11,0.05,0.25,0.08,0.09,0.19,0.01,0.17,0.06,0.07,0.11,0.05,0.45,0.11,0.14,0.31,0.07,0.44,0.15,0.16,0.33
"17",0.01,0.12,0.02,0.03,0.07,0.05,0.26,0.1,0.1,0.17,0.02,0.29,0.06,0.08,0.24,0.08,0.59,0.17,0.23,0.44,0.07,0.46,0.13,0.18,0.34
"18",0.01,0.12,0.02,0.03,0.07,0.05,0.26,0.1,0.1,0.17,0.02,0.29,0.06,0.08,0.24,0.08,0.59,0.17,0.23,0.44,0.07,0.46,0.13,0.18,0.34
