"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1",106154,2.16947496854856,1.96891312783491,2.60908879152645,2.49948173110848,2.12767027996358,5.43955808113543,2.52215420409564,5.54112810654913,2.58716837641558,5.32381172187233,5.92459751594401,4.06342804536381,4.49147232591079
"2",107152,1.99877962037371,1.64810458549809,2.30920521891591,1.90297048043634,1.61552691052214,4.96445952380704,2.12879295647093,5.2002250964128,2.33354472447508,4.97983831085588,4.04762215491565,3.72063683059726,3.91155710797685
"3",108147,1.30306802158277,2.0158583385554,2.79963320983898,1.46567594989373,1.67715768457481,5.71846346048951,0.88764456968247,2.62189340146309,2.7956135730221,4.21210088192854,5.9748536310815,1.61208670159744,3.86229930739785
"4",108151,1.71015339984098,1.67563154112321,2.79309386669661,2.14310780060101,1.80735536959124,6.46674052969862,2.00179077892337,4.10478518300684,2.57894820995123,4.73298132745677,4.39441493531356,3.11606083587016,4.17385263351736
"5",109149,1.57677918052487,1.64996445211737,2.18337607711371,1.45084799843631,1.67748979214207,6.08317471160048,1.59860473925348,4.38599180481046,3.00387463582828,4.89468328958704,4.69317181615004,1.8113023646739,3.62065309899455
"6",110151,1.66090197047139,1.07260528301716,2.46620492700419,2.32137283403988,1.80348924543612,6.97566004737363,2.01996758961559,4.47382221388516,2.75264615194252,5.21705919041424,5.28292323774563,3.07809616886671,3.10676469814685
"7",111151,1.49479361045195,0.946280093162985,2.32663202987503,2.23652096600808,1.63157924723856,6.87250146881035,2.03976246123397,4.46321013381837,2.52811657554342,5.71431470275172,6.52364298521686,3.07275051436376,3.08871997919595
"8",101152,1.99981559782636,1.9344495220356,2.17208042273255,1.97009644862135,1.47381659214053,5.51185323643193,2.00765449254314,4.06307837294315,2.28626277403489,4.25699854915074,4.45001834567512,3.20474832369662,4.18385697484261
"9",102154,2.66000245636232,1.7874663652285,2.51512565559901,2.20084975269054,1.91497987350223,4.43150390792369,1.71610027739066,3.6742553967567,2.09485281334447,4.04496482703427,4.03460663445132,3.56229962038216,4.37817765474677
"10",103154,3.20809017323667,2.88470879769048,3.41499940137772,3.71406336151174,3.43016777724186,5.1581305086447,2.62857578947095,6.15493235031286,3.23857260133761,6.83130022447056,4.44925506228733,6.14180950929176,4.17206700556314
"11",101180,4.57146545487502,3.56562337808623,6.56558096567539,3.96176356882544,6.2531881413111,6.35361098888635,5.48919909430119,7.44360500918809,5.77014818340681,5.04782475805096,5.39811749912437,8.38759314908929,5.95830582899122
"12",102185,4.33047993126398,3.87042046656751,4.95141787487714,4.26997518178114,8.09154880791586,5.61079367624436,6.13802131273404,6.7862815738817,4.91242251690482,4.93338762538516,6.54104361515256,7.18468939095433,6.77201735682724
"13",103179,5.09887161964382,4.97515423525443,6.42373613103213,3.54149677733623,4.40176668303149,8.84629741821728,5.89797544788748,8.54196131133812,4.55917065989236,5.33530932120614,5.00600259918662,8.44715441114428,7.60691300476433
